hour_of_day,avg_temp
0,25.324117647058813
1,26.267045454545453
2,24.236060606060605
3,25.79094339622642
4,24.030270270270268
5,25.498809523809513
6,25.433191489361704
7,25.72265306122448
8,25.683243243243243
9,25.050697674418608
10,23.481379310344828
11,22.931818181818183
12,25.67435897435897
13,24.616382978723404
14,25.21260869565217
15,23.20935483870968
16,25.229999999999993
17,27.972727272727273
18,25.704888888888885
19,24.74679245283019
20,25.522258064516123
21,25.979268292682924
22,24.33774193548387
23,23.970000000000002
